Band Height,Start Angle,Rubber Bands,Arm Length,Stop Angle,Distance thrown by Catapult
D,D,D,D,D,O
3.25,0,1,0,80,28.00
4.00,10,2,2,62,99.00
4.75,20,2,4,80,126.50
4.75,0,2,4,45,126.50
3.25,20,2,4,45,45.00
4.75,0,1,0,45,35.00
4.00,10,1,2,62,45.00
4.75,20,1,0,80,28.25
4.75,0,1,4,80,85.00
3.25,20,1,0,45,8.00
4.75,20,1,4,45,36.50
3.25,0,1,4,45,33.00
4.00,10,2,2,62,84.50
4.75,20,2,0,45,28.50
3.25,0,2,0,45,33.50
3.25,20,2,0,80,36.00
4.75,0,2,0,80,84.00
3.25,20,1,4,80,45.00
4.00,10,1,2,62,37.50
3.25,0,2,4,80,106.00
6,0,2,4,80,600
