Temperature,Speed,Thickness of Layer,Extrusion Width,Vertical Test Tube Position,Horizontal Test Tube Position,Young(GPa),Break in Tension(MPa),Breakage Deformation
180,40,0.1,0.55,0,1,2.70,24.10,0.01
200,40,0.1,0.55,0,1,3.13,30.71,0.01
180,80,0.1,0.55,0,1,2.53,27.42,0.01
200,80,0.1,0.55,0,1,3.07,30.64,0.01
180,40,0.3,0.55,0,1,3.34,37.85,0.01
200,40,0.3,0.55,0,1,3.34,34.10,0.01
180,80,0.3,0.55,0,1,2.47,25.06,0.01
200,80,0.3,0.55,0,1,2.82,32.25,0.01
180,40,0.1,0.75,0,1,3.28,42.33,0.01
200,40,0.1,0.75,0,1,3.17,42.70,0.02
180,80,0.1,0.75,0,1,2.90,45.98,0.02
200,80,0.1,0.75,0,1,3.07,53.49,0.03
180,40,0.3,0.75,0,1,3.31,42.74,0.01
200,40,0.3,0.75,0,1,3.08,42.57,0.02
180,80,0.3,0.75,0,1,3.40,55.63,0.03
200,80,0.3,0.75,0,1,3.60,48.41,0.02
180,40,0.1,0.55,1,0,2.29,32.06,0.02
200,40,0.1,0.55,1,0,3.39,39.56,0.02
180,80,0.1,0.55,1,0,2.49,31.36,0.01
200,80,0.1,0.55,1,0,3.23,43.15,0.02
180,40,0.3,0.55,1,0,2.88,37.01,0.02
200,40,0.3,0.55,1,0,2.95,38.03,0.02
180,80,0.3,0.55,1,0,2.38,34.89,0.02
200,80,0.3,0.55,1,0,2.84,35.53,0.02
180,40,0.1,0.75,1,0,3.14,45.46,0.02
200,40,0.1,0.75,1,0,3.65,55.94,0.05
180,80,0.1,0.75,1,0,2.88,40.19,0.02
200,80,0.1,0.75,1,0,2.89,37.14,0.02
180,40,0.3,0.75,1,0,3.06,43.49,0.02
200,40,0.3,0.75,1,0,3.27,53.64,0.02
180,80,0.3,0.75,1,0,3.38,42.96,0.02
200,80,0.3,0.75,1,0,3.02,42.54,0.02
180,40,0.1,0.55,0,1,2.64,18.69,0.01
200,40,0.1,0.55,0,1,3.00,18.77,0.01
180,80,0.1,0.55,0,1,3.24,18.17,0.01
200,80,0.1,0.55,0,1,2.94,20.65,0.01
180,40,0.3,0.55,0,1,2.43,17.58,0.01
200,40,0.3,0.55,0,1,3.04,21.80,0.01
180,80,0.3,0.55,0,1,3.27,20.77,0.01
200,80,0.3,0.55,0,1,3.20,23.84,0.01
180,40,0.1,0.75,0,1,3.52,50.57,0.02
200,40,0.1,0.75,0,1,3.12,33.42,0.01
180,80,0.1,0.75,0,1,3.14,38.00,0.01
200,80,0.1,0.75,0,1,3.14,45.55,0.02
180,40,0.3,0.75,0,1,3.56,48.15,0.02
200,40,0.3,0.75,0,1,3.62,55.75,0.02
180,80,0.3,0.75,0,1,3.64,56.47,0.02
200,80,0.3,0.75,0,1,3.44,55.49,0.02
180,40,0.1,0.55,1,0,2.12,20.73,0.01
200,40,0.1,0.55,1,0,3.83,20.31,0.01
180,80,0.1,0.55,1,0,3.53,30.76,0.01
200,80,0.1,0.55,1,0,1.86,12.04,0.01
180,40,0.3,0.55,1,0,2.23,27.14,0.01
200,40,0.3,0.55,1,0,1.39,9.60,0.01
180,80,0.3,0.55,1,0,1.92,18.90,0.01
200,80,0.3,0.55,1,0,2.84,27.87,0.01
180,40,0.1,0.75,1,0,2.59,28.99,0.01
200,40,0.1,0.75,1,0,2.40,20.93,0.01
180,80,0.1,0.75,1,0,1.86,16.94,0.01
200,80,0.1,0.75,1,0,1.68,14.05,0.01
180,40,0.3,0.75,1,0,2.54,26.24,0.01
200,40,0.3,0.75,1,0,2.57,34.97,0.04
180,80,0.3,0.75,1,0,2.92,42.06,0.02
200,80,0.3,0.75,1,0,2.70,36.81,0.02
